Stutt námskeiðsnúmer,Námskeiðsheiti,Misseri,Einingar
EÐL102G,Eðlisfræði 1 V,Haust 2019,6
TÖL107G,Vefforritun 1,Haust 2019,8
HBV201G,Viðmótsforritun,Vor 2020,8
STÆ104G,Stærðfræðigreining I,Haust 2019,6
HBV201G,Viðmótsforritun,Vor 2020,8
REI201G,Stærðfræði og reiknifræði,Vor 2020,8
STÆ205G,Stærðfræðigreining II,Vor 2020,6
TÖL203G,Tölvunarfræði 2,Vor 2020,6
TÖL203G,Tölvunarfræði 2,Vor 2020,6
TÖL204G,Tölvur og stýrikerfi,Vor 2020,2
TÖV201G,Greining og hönnun stafrænna rása,Vor 2020,6
TÖV201G,Greining og hönnun stafrænna rása,Vor 2020,6
TÖV202G,Greining og hönnun stafrænna rása - verklegt,Vor 2020,2
TÖV202G,Greining og hönnun stafrænna rása - verklegt,Vor 2020,2
STÆ105G,Hagnýt stærðfræðigreining,Haust 2019,8
STÆ107G,Línuleg algebra,Haust 2019,6
TÖL101G,Tölvunarfræði 1,Haust 2019,6
TÖL101G,Tölvunarfræði 1,Haust 2019,6
TÖL104G,Stærðfræðimynstur,Haust 2019,8
TÖL104G,Stærðfræðimynstur,Haust 2019,8
TÖL107G,Vefforritun 1,Haust 2019,8
TÖL303G,Gagnasafnsfræði,Haust 2019,6
HBV401G,Þróun hugbúnaðar,Vor 2020,6
HBV401G,Þróun hugbúnaðar,Vor 2020,6
STÆ203G,Líkindareikningur og tölfræði,Vor 2020,6
STÆ203G,Líkindareikningur og tölfræði,Vor 2020,6
STÆ405G,Töluleg greining,Vor 2020,6
TÖL301G,Formleg mál og reiknanleiki,Haust 2019,6
TÖL401G,Stýrikerfi,Vor 2020,6
TÖL403G,Greining reiknirita,Vor 2020,6
TÖL403G,Greining reiknirita,Vor 2020,6
STÆ302G,Stærðfræðigreining III,Haust 2019,6
TÖL301G,Formleg mál og reiknanleiki,Haust 2019,6
TÖL303G,Gagnasafnsfræði,Haust 2019,6
TÖL304G,Forritunarmál,Haust 2019,6
TÖL304G,Forritunarmál,Haust 2019,6
